Time, Position, Rotation
10:28:05:51,(2.289. 0.865. 0.131),(-0.628. -0.320. 0.630. -0.324)
10:28:06:027,(2.289. 0.865. 0.131),(-0.628. -0.321. 0.630. -0.325)
10:28:06:526,(2.289. 0.865. 0.131),(-0.628. -0.321. 0.630. -0.324)
10:28:07:037,(2.289. 0.865. 0.131),(-0.628. -0.321. 0.630. -0.324)
10:28:07:537,(2.289. 0.865. 0.131),(-0.628. -0.321. 0.630. -0.324)
10:28:08:047,(2.290. 0.865. 0.131),(0.631. 0.318. -0.629. 0.325)
10:28:08:558,(2.292. 0.864. 0.132),(0.631. 0.319. -0.628. 0.325)
10:28:09:068,(2.291. 0.865. 0.130),(0.631. 0.315. -0.629. 0.326)
10:28:09:571,(2.299. 0.863. 0.133),(0.632. 0.315. -0.628. 0.327)
10:28:10:079,(2.305. 0.861. 0.135),(-0.626. -0.320. 0.631. -0.329)
10:28:10:589,(2.301. 0.862. 0.134),(0.629. 0.319. -0.629. 0.327)
10:28:11:09,(2.267. 0.875. 0.168),(0.567. 0.551. -0.557. 0.254)
10:28:11:711,(2.246. 0.912. 0.163),(0.489. 0.602. -0.553. 0.303)
10:28:12:214,(2.059. 1.078. -0.019),(-0.108. 0.843. -0.466. 0.247)
10:28:12:724,(2.105. 1.022. -0.074),(-0.194. 0.932. -0.281. 0.124)
10:28:13:24,(2.115. 0.892. -0.132),(-0.118. 0.965. -0.221. -0.073)
10:28:13:751,(2.224. 0.810. -0.122),(-0.019. 0.975. -0.212. -0.059)
10:28:14:264,(2.150. 0.837. -0.099),(-0.002. 0.998. -0.066. -0.022)
10:28:14:776,(2.168. 0.848. -0.067),(-0.020. 1.000. 0.012. -0.020)
10:28:15:285,(2.184. 0.875. -0.030),(-0.017. 0.998. 0.022. -0.049)
10:28:15:797,(2.220. 0.910. 0.036),(-0.020. 0.996. 0.039. 0.078)
10:28:16:306,(2.176. 0.807. -0.063),(-0.050. 0.943. 0.298. 0.143)
10:28:16:815,(2.172. 0.799. -0.057),(-0.090. 0.896. 0.381. 0.208)
10:28:17:326,(2.181. 0.812. -0.080),(-0.035. 0.987. 0.004. 0.155)
