Time, Position, Rotation
14:42:46:117,(0.768. 1.662. -0.256),(-0.035. 0.983. -0.172. 0.052)
14:42:46:628,(0.773. 1.607. -0.243),(0.099. 0.991. -0.071. 0.049)
14:42:47:139,(0.748. 1.550. -0.220),(0.017. 0.992. -0.106. 0.065)
14:42:47:662,(0.699. 1.565. -0.275),(0.033. 0.995. -0.098. -0.008)
14:42:48:181,(0.762. 1.586. -0.396),(0.020. 0.999. 0.001. -0.030)
14:42:48:691,(0.745. 1.581. -0.556),(0.003. 1.000. 0.025. 0.000)
14:42:49:205,(0.719. 1.566. -0.701),(0.031. 0.999. -0.001. -0.019)
14:42:49:715,(0.734. 1.577. -0.620),(0.009. 0.999. 0.036. -0.018)
14:42:50:225,(0.776. 1.576. -0.534),(0.000. 1.000. 0.023. 0.018)
14:42:50:736,(0.801. 1.546. -0.617),(0.022. 0.999. -0.008. 0.024)
14:42:51:246,(0.742. 1.536. -0.687),(0.008. 0.999. -0.049. -0.022)
14:42:51:746,(0.738. 1.594. -0.641),(0.043. 0.987. 0.149. 0.048)
14:42:52:257,(0.778. 1.575. -0.593),(0.016. 0.999. 0.000. 0.047)
14:42:52:769,(0.771. 1.576. -0.584),(0.009. 1.000. 0.010. 0.028)
14:42:53:279,(0.763. 1.577. -0.599),(0.015. 0.999. 0.015. 0.031)
14:42:53:801,(0.753. 1.567. -0.623),(0.014. 1.000. -0.022. 0.016)
14:42:54:313,(0.753. 1.552. -0.649),(0.012. 0.996. -0.084. 0.016)
14:42:54:824,(0.749. 1.555. -0.655),(0.008. 0.998. -0.060. 0.016)
14:42:55:333,(0.737. 1.555. -0.692),(0.007. 0.999. -0.029. 0.012)
14:42:55:844,(0.713. 1.546. -0.767),(0.009. 1.000. 0.024. 0.006)
14:42:56:355,(0.706. 1.543. -0.783),(0.011. 1.000. 0.017. 0.018)
14:42:56:877,(0.710. 1.549. -0.759),(0.013. 1.000. 0.011. 0.021)
14:42:57:388,(0.716. 1.552. -0.739),(0.011. 1.000. 0.006. 0.018)
14:42:57:888,(0.728. 1.556. -0.709),(0.010. 1.000. -0.018. 0.015)
14:42:58:399,(0.760. 1.570. -0.599),(0.008. 1.000. -0.026. 0.009)
14:42:58:909,(0.813. 1.571. -0.497),(-0.009. 1.000. -0.015. -0.011)
14:42:59:423,(0.808. 1.585. -0.460),(0.008. 1.000. 0.025. 0.007)
14:42:59:932,(0.758. 1.587. -0.485),(0.012. 1.000. 0.026. -0.003)
14:43:00:443,(0.735. 1.587. -0.478),(0.010. 1.000. 0.030. 0.001)
14:43:00:955,(0.736. 1.587. -0.479),(0.014. 0.999. 0.028. 0.012)
14:43:01:465,(0.734. 1.581. -0.490),(0.013. 1.000. -0.005. 0.006)
14:43:01:976,(0.728. 1.581. -0.486),(0.016. 1.000. -0.001. 0.008)
14:43:02:486,(0.730. 1.591. -0.468),(0.024. 0.998. 0.050. 0.039)
14:43:02:998,(0.731. 1.585. -0.478),(0.031. 0.998. 0.005. 0.063)
14:43:03:511,(0.705. 1.579. -0.489),(0.018. 0.999. -0.026. -0.019)
14:43:04:019,(0.714. 1.594. -0.483),(0.018. 0.998. 0.053. 0.006)
14:43:04:53,(0.723. 1.586. -0.497),(0.025. 0.999. 0.011. 0.017)
14:43:05:042,(0.724. 1.579. -0.503),(0.025. 0.999. -0.015. 0.027)
14:43:05:553,(0.723. 1.593. -0.484),(0.019. 0.998. 0.061. 0.024)
14:43:06:063,(0.730. 1.587. -0.494),(0.025. 0.999. 0.028. 0.028)
14:43:06:564,(0.733. 1.587. -0.492),(0.029. 0.999. 0.030. 0.030)
14:43:07:074,(0.734. 1.586. -0.493),(0.031. 0.999. 0.028. 0.029)
14:43:07:585,(0.735. 1.585. -0.496),(0.031. 0.999. 0.025. 0.033)
14:43:08:096,(0.738. 1.583. -0.499),(0.031. 0.998. 0.023. 0.051)
14:43:08:607,(0.732. 1.583. -0.494),(0.023. 0.999. 0.025. 0.043)
14:43:09:118,(0.732. 1.580. -0.486),(0.023. 0.999. 0.004. 0.047)
14:43:09:63,(0.729. 1.581. -0.490),(0.023. 0.999. 0.005. 0.035)
14:43:10:15,(0.731. 1.582. -0.487),(0.027. 0.999. 0.012. 0.031)
14:43:10:662,(0.732. 1.583. -0.483),(0.025. 0.999. 0.018. 0.032)
14:43:11:172,(0.734. 1.583. -0.482),(0.024. 0.999. 0.018. 0.033)
14:43:11:687,(0.737. 1.582. -0.483),(0.027. 0.999. 0.016. 0.036)
14:43:12:194,(0.738. 1.582. -0.483),(0.028. 0.999. 0.017. 0.039)
14:43:12:704,(0.739. 1.583. -0.478),(0.029. 0.999. 0.020. 0.038)
14:43:13:216,(0.741. 1.583. -0.475),(0.033. 0.998. 0.022. 0.041)
14:43:13:727,(0.753. 1.587. -0.479),(0.035. 0.994. 0.033. 0.098)
14:43:14:239,(0.835. 1.563. -0.435),(0.046. 0.909. -0.028. 0.413)
14:43:14:753,(0.875. 1.550. -0.384),(0.078. 0.825. -0.030. 0.560)
14:43:15:272,(0.867. 1.552. -0.371),(0.074. 0.898. -0.022. 0.433)
14:43:15:781,(0.796. 1.562. -0.364),(0.043. 0.999. 0.001. 0.018)
14:43:16:282,(0.815. 1.570. -0.357),(0.032. 0.999. 0.022. 0.008)
14:43:16:805,(0.818. 1.571. -0.385),(0.040. 0.998. 0.036. 0.025)
14:43:17:315,(0.817. 1.569. -0.384),(0.033. 0.998. 0.024. 0.039)
14:43:17:825,(0.824. 1.568. -0.376),(0.038. 0.998. 0.022. 0.041)
14:43:18:347,(0.835. 1.566. -0.383),(0.044. 0.998. 0.016. 0.042)
14:43:18:858,(0.839. 1.565. -0.406),(0.040. 0.999. 0.009. 0.035)
14:43:19:369,(0.831. 1.565. -0.418),(0.035. 0.999. 0.008. 0.025)
14:43:19:873,(0.825. 1.569. -0.408),(0.032. 0.999. 0.031. 0.022)
14:43:20:392,(0.831. 1.569. -0.404),(0.037. 0.998. 0.036. 0.035)
14:43:20:902,(0.831. 1.569. -0.401),(0.035. 0.998. 0.040. 0.030)
14:43:21:409,(0.831. 1.569. -0.402),(0.034. 0.998. 0.041. 0.030)
14:43:21:913,(0.834. 1.569. -0.403),(0.036. 0.998. 0.041. 0.031)
14:43:22:414,(0.838. 1.569. -0.402),(0.037. 0.998. 0.043. 0.033)
14:43:22:934,(0.840. 1.570. -0.400),(0.037. 0.998. 0.044. 0.036)
14:43:23:456,(0.842. 1.569. -0.398),(0.038. 0.998. 0.045. 0.035)
14:43:23:967,(0.842. 1.569. -0.399),(0.039. 0.998. 0.042. 0.037)
14:43:24:48,(0.847. 1.570. -0.398),(0.043. 0.997. 0.042. 0.039)
14:43:24:979,(0.856. 1.590. -0.386),(0.050. 0.981. 0.087. 0.169)
14:43:25:492,(0.784. 1.588. -0.356),(0.043. 0.954. 0.049. 0.294)
14:43:26:012,(0.708. 1.580. -0.334),(0.033. 0.933. 0.014. 0.358)
14:43:26:523,(0.720. 1.589. -0.304),(0.025. 0.946. 0.043. 0.322)
14:43:27:044,(0.774. 1.588. -0.295),(0.031. 0.947. 0.033. 0.319)
14:43:27:569,(0.804. 1.590. -0.277),(0.011. 0.926. 0.039. 0.376)
14:43:28:077,(0.817. 1.582. -0.273),(0.050. 0.930. 0.014. 0.363)
14:43:28:589,(0.818. 1.580. -0.277),(0.066. 0.935. 0.009. 0.348)
14:43:29:1,(0.812. 1.579. -0.273),(0.079. 0.939. 0.006. 0.333)
14:43:29:622,(0.807. 1.584. -0.271),(0.066. 0.941. 0.025. 0.331)
14:43:30:135,(0.805. 1.583. -0.267),(0.062. 0.944. 0.024. 0.324)
14:43:30:667,(0.807. 1.584. -0.265),(0.060. 0.944. 0.023. 0.324)
14:43:31:188,(0.808. 1.584. -0.267),(0.055. 0.946. 0.022. 0.318)
