Time, Position, Rotation
10:22:21:431,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:21:945,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:22:456,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:22:961,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:23:467,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:23:98,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:24:488,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:24:991,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:25:502,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:26:01,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:26:521,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:27:023,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:27:532,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:28:042,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:28:542,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:29:052,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:29:563,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:30:074,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:30:578,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:31:086,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:31:596,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:32:1,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:32:606,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:33:107,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:33:618,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:34:128,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:34:64,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:35:15,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:35:65,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:36:161,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:36:662,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:37:171,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:37:682,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:38:183,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:38:694,(-0.223. -0.024. 0.000),(0.000. 0.000. 0.000. 1.000)
10:22:39:209,(1.731. 0.637. -0.367),(-0.100. 0.816. 0.018. 0.569)
10:22:39:72,(1.740. 0.636. -0.366),(-0.088. 0.809. 0.051. 0.579)
10:22:40:23,(1.739. 0.628. -0.370),(-0.122. 0.768. 0.110. 0.619)
10:22:40:741,(1.742. 0.625. -0.363),(-0.121. 0.764. 0.098. 0.626)
10:22:41:245,(1.736. 0.626. -0.370),(-0.121. 0.771. 0.107. 0.616)
10:22:41:751,(1.738. 0.619. -0.352),(-0.104. 0.747. 0.128. 0.643)
10:22:42:255,(1.740. 0.618. -0.348),(-0.099. 0.737. 0.115. 0.658)
10:22:42:773,(1.743. 0.616. -0.343),(-0.092. 0.733. 0.116. 0.665)
10:22:43:277,(1.742. 0.615. -0.345),(-0.088. 0.739. 0.119. 0.657)
10:22:43:784,(1.742. 0.614. -0.347),(-0.086. 0.739. 0.117. 0.658)
10:22:44:296,(1.743. 0.615. -0.345),(-0.085. 0.739. 0.118. 0.658)
10:22:44:808,(1.742. 0.614. -0.345),(-0.089. 0.740. 0.118. 0.657)
10:22:45:319,(1.742. 0.616. -0.343),(-0.088. 0.740. 0.118. 0.656)
10:22:45:83,(1.749. 0.617. -0.329),(-0.064. 0.689. 0.139. 0.708)
10:22:46:348,(1.763. 0.618. -0.307),(-0.038. 0.600. 0.181. 0.778)
10:22:46:849,(1.753. 0.611. -0.317),(-0.052. 0.654. 0.164. 0.737)
10:22:47:361,(1.756. 0.611. -0.320),(-0.049. 0.657. 0.153. 0.737)
10:22:47:862,(1.755. 0.610. -0.323),(-0.060. 0.659. 0.157. 0.733)
10:22:48:372,(1.755. 0.609. -0.323),(-0.059. 0.665. 0.156. 0.728)
10:22:48:878,(1.755. 0.598. -0.325),(-0.023. 0.670. 0.113. 0.734)
10:22:49:378,(1.795. 0.599. -0.319),(0.074. 0.657. 0.045. 0.749)
10:22:49:888,(1.806. 0.596. -0.324),(0.097. 0.678. 0.002. 0.729)
10:22:50:4,(1.806. 0.596. -0.326),(0.092. 0.675. -0.011. 0.732)
10:22:50:902,(1.819. 0.621. -0.312),(0.120. 0.670. -0.091. 0.727)
10:22:51:411,(1.902. 0.894. -0.302),(0.045. 0.745. -0.093. 0.659)
10:22:51:916,(1.863. 0.907. -0.368),(0.126. 0.804. -0.181. 0.552)
10:22:52:428,(1.844. 1.032. -0.384),(0.199. 0.707. -0.252. 0.630)
10:22:52:933,(1.788. 1.110. -0.339),(0.160. 0.629. -0.192. 0.736)
10:22:53:444,(1.765. 1.118. -0.335),(0.068. 0.686. -0.129. 0.713)
10:22:53:947,(1.766. 1.126. -0.342),(0.054. 0.728. -0.095. 0.677)
10:22:54:446,(1.755. 1.109. -0.326),(0.136. 0.707. -0.129. 0.682)
10:22:54:955,(1.763. 1.156. -0.331),(0.012. 0.660. 0.061. 0.748)
10:22:55:459,(1.743. 1.187. -0.339),(-0.018. 0.719. 0.021. 0.694)
10:22:55:965,(1.762. 1.165. -0.342),(0.033. 0.639. -0.041. 0.768)
10:22:56:475,(1.909. 1.118. -0.330),(0.119. 0.633. -0.118. 0.756)
10:22:56:98,(2.009. 1.375. -0.297),(0.188. 0.710. -0.134. 0.665)
10:22:57:491,(1.946. 1.509. -0.380),(0.305. 0.922. -0.019. 0.236)
10:22:58:001,(1.899. 1.554. -0.377),(-0.023. 0.988. -0.027. 0.148)
10:22:58:514,(1.859. 1.572. -0.394),(0.019. 0.999. -0.009. 0.026)
10:22:59:022,(1.732. 1.601. -0.430),(0.012. 0.998. 0.064. -0.026)
10:22:59:535,(1.734. 1.577. -0.483),(0.029. 0.992. -0.121. 0.032)
10:23:00:047,(1.789. 1.607. -0.464),(0.044. 0.995. 0.047. 0.081)
10:23:00:558,(1.785. 1.611. -0.472),(0.031. 0.996. 0.086. 0.007)
10:23:01:067,(1.776. 1.588. -0.484),(0.051. 0.998. -0.033. 0.021)
10:23:01:579,(1.771. 1.545. -0.527),(0.086. 0.974. -0.207. 0.042)
10:23:02:092,(1.709. 1.561. -0.530),(-0.055. 0.984. -0.133. -0.107)
10:23:02:6,(1.741. 1.578. -0.536),(0.016. 0.997. -0.081. 0.008)
10:23:03:111,(1.738. 1.581. -0.519),(0.040. 0.998. -0.038. 0.008)
10:23:03:624,(1.734. 1.574. -0.532),(0.057. 0.995. -0.076. 0.041)
10:23:04:134,(1.734. 1.570. -0.529),(0.063. 0.992. -0.082. 0.079)
10:23:04:643,(1.745. 1.597. -0.517),(0.177. 0.952. 0.107. 0.226)
10:23:05:157,(1.730. 1.584. -0.510),(0.082. 0.991. -0.033. 0.099)
10:23:05:664,(1.705. 1.624. -0.499),(-0.054. 0.968. 0.245. -0.029)
10:23:06:164,(1.741. 1.628. -0.496),(0.010. 0.959. 0.281. -0.027)
10:23:06:686,(1.765. 1.636. -0.469),(0.022. 0.910. 0.414. 0.007)
10:23:07:198,(1.766. 1.599. -0.531),(0.022. 0.999. 0.030. 0.039)
10:23:07:72,(1.833. 1.566. -0.535),(0.057. 0.887. -0.073. 0.452)
10:23:08:23,(1.884. 1.511. -0.531),(0.078. 0.690. -0.243. 0.677)
10:23:08:73,(1.905. 1.468. -0.394),(0.423. 0.736. -0.187. 0.495)
10:23:09:242,(1.985. 1.464. -0.298),(0.453. 0.719. -0.186. 0.493)
10:23:09:751,(2.057. 1.390. -0.254),(0.603. 0.566. -0.220. 0.518)
10:23:10:262,(2.099. 1.128. -0.159),(0.799. 0.204. -0.148. 0.545)
10:23:10:768,(2.193. 0.915. -0.043),(0.619. 0.159. -0.339. 0.690)
10:23:11:279,(2.198. 0.845. -0.063),(0.614. 0.165. -0.494. 0.592)
10:23:11:79,(2.204. 0.818. -0.080),(0.708. 0.157. -0.469. 0.504)
10:23:12:294,(2.247. 0.853. -0.003),(0.844. 0.031. -0.181. 0.505)
10:23:12:793,(2.269. 0.865. -0.009),(0.857. -0.044. -0.068. 0.509)
10:23:13:301,(2.243. 0.858. -0.023),(0.853. -0.013. 0.016. 0.521)
10:23:13:811,(2.252. 0.863. -0.011),(0.854. -0.014. 0.016. 0.519)
10:23:14:313,(2.269. 0.859. -0.007),(0.855. -0.013. 0.016. 0.518)
10:23:14:822,(2.281. 0.855. -0.004),(0.855. -0.014. 0.017. 0.518)
10:23:15:333,(2.303. 0.850. 0.002),(0.855. -0.014. 0.017. 0.517)
10:23:15:835,(2.328. 0.843. 0.007),(0.855. -0.015. 0.017. 0.518)
10:23:16:346,(2.346. 0.839. 0.012),(0.855. -0.015. 0.017. 0.517)
10:23:16:855,(2.346. 0.839. 0.012),(0.855. -0.015. 0.018. 0.517)
10:23:17:355,(2.327. 0.843. 0.008),(0.855. -0.015. 0.019. 0.517)
10:23:17:866,(2.369. 0.833. 0.018),(0.855. -0.016. 0.019. 0.517)
10:23:18:376,(2.366. 0.833. 0.018),(0.855. -0.016. 0.020. 0.517)
10:23:18:888,(2.384. 0.829. 0.023),(0.855. -0.016. 0.020. 0.517)
10:23:19:389,(2.421. 0.820. 0.036),(0.856. -0.017. 0.020. 0.517)
10:23:19:898,(2.430. 0.817. 0.034),(0.855. -0.017. 0.021. 0.517)
10:23:20:41,(2.476. 0.808. 0.048),(0.855. -0.018. 0.021. 0.517)
10:23:20:922,(2.531. 0.798. 0.067),(0.856. -0.018. 0.022. 0.517)
10:23:21:431,(2.596. 0.787. 0.091),(0.856. -0.018. 0.022. 0.517)
10:23:21:941,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:22:442,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:22:951,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:23:463,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:23:974,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:24:484,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:24:995,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:25:498,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:25:996,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:26:506,(2.639. 0.781. 0.108),(0.856. -0.019. 0.022. 0.517)
10:23:27:008,(2.164. 0.807. -0.120),(-0.039. 0.619. -0.024. 0.784)
10:23:27:508,(2.186. 0.803. -0.096),(-0.034. 0.680. 0.023. 0.732)
10:23:28:017,(2.199. 0.805. 0.007),(-0.018. 0.682. 0.019. 0.731)
10:23:28:519,(2.201. 0.813. 0.017),(-0.020. 0.679. 0.017. 0.733)
10:23:29:028,(2.201. 0.814. 0.018),(-0.020. 0.679. 0.017. 0.733)
10:23:29:539,(2.202. 0.815. 0.019),(-0.021. 0.680. 0.016. 0.733)
10:23:30:039,(2.202. 0.815. 0.018),(-0.022. 0.680. 0.016. 0.732)
10:23:30:55,(2.201. 0.814. 0.018),(-0.022. 0.680. 0.016. 0.732)
10:23:31:054,(2.201. 0.814. 0.018),(-0.022. 0.680. 0.016. 0.732)
10:23:31:561,(2.201. 0.813. 0.018),(-0.022. 0.680. 0.017. 0.732)
10:23:32:061,(2.201. 0.813. 0.017),(-0.022. 0.680. 0.017. 0.732)
10:23:32:571,(2.201. 0.813. 0.018),(-0.022. 0.680. 0.017. 0.732)
10:23:33:074,(2.201. 0.815. 0.019),(-0.022. 0.681. 0.016. 0.732)
