Time, Position, Rotation
14:58:45:314,(0.614. 1.627. -0.253),(0.012. 0.997. -0.082. 0.004)
14:58:45:824,(0.624. 1.478. -0.280),(0.003. 0.999. -0.049. 0.009)
14:58:46:335,(0.612. 1.417. -0.276),(-0.001. 0.999. -0.033. 0.009)
14:58:46:845,(0.601. 1.605. -0.226),(0.002. 1.000. -0.021. 0.011)
14:58:47:368,(0.593. 1.669. -0.198),(0.005. 0.999. -0.039. 0.012)
14:58:47:879,(0.590. 1.673. -0.192),(0.009. 0.999. -0.038. 0.010)
14:58:48:39,(0.591. 1.676. -0.184),(0.007. 1.000. -0.026. 0.012)
14:58:48:901,(0.596. 1.673. -0.179),(0.009. 0.999. -0.042. 0.021)
14:58:49:412,(0.603. 1.661. -0.187),(0.012. 0.994. -0.105. 0.031)
14:58:49:92,(0.632. 1.658. -0.191),(0.014. 0.991. -0.116. 0.064)
14:58:50:425,(0.677. 1.659. -0.186),(0.022. 0.986. -0.104. 0.130)
14:58:50:934,(0.702. 1.658. -0.189),(0.029. 0.988. -0.108. 0.106)
14:58:51:443,(0.615. 1.654. -0.196),(-0.011. 0.982. -0.122. -0.147)
14:58:51:951,(0.477. 1.657. -0.129),(-0.052. 0.880. -0.098. -0.462)
14:58:52:459,(0.522. 1.655. -0.117),(0.080. -0.745. 0.085. 0.657)
14:58:52:971,(0.595. 1.653. -0.103),(0.087. -0.692. 0.081. 0.712)
14:58:53:481,(0.590. 1.657. -0.013),(0.094. -0.631. 0.071. 0.767)
14:58:53:992,(0.578. 1.654. 0.010),(0.101. -0.641. 0.078. 0.757)
14:58:54:498,(0.585. 1.655. -0.088),(0.071. -0.805. 0.098. 0.581)
14:58:55:011,(0.614. 1.654. -0.189),(-0.009. 0.972. -0.107. -0.210)
14:58:55:52,(0.564. 1.673. -0.165),(0.016. 0.999. -0.031. 0.005)
14:58:56:033,(0.642. 1.676. -0.154),(0.018. 1.000. -0.012. 0.014)
14:58:56:543,(0.727. 1.675. -0.130),(0.011. 1.000. -0.022. -0.005)
14:58:57:053,(0.756. 1.667. -0.115),(0.028. 0.998. -0.054. 0.007)
14:58:57:564,(0.660. 1.671. -0.112),(-0.006. 0.999. -0.051. -0.011)
14:58:58:074,(0.594. 1.674. -0.116),(-0.019. 0.999. -0.027. -0.013)
14:58:58:586,(0.597. 1.676. -0.116),(-0.021. 1.000. -0.016. -0.009)
14:58:59:098,(0.690. 1.676. -0.111),(0.023. 0.999. -0.027. 0.041)
14:58:59:608,(0.734. 1.669. -0.113),(0.037. 0.997. -0.056. 0.032)
14:59:00:129,(0.714. 1.664. -0.117),(0.024. 0.996. -0.088. 0.013)
14:59:00:641,(0.692. 1.663. -0.117),(0.018. 0.995. -0.094. 0.014)
14:59:01:151,(0.667. 1.661. -0.127),(0.009. 0.994. -0.104. -0.008)
14:59:01:662,(0.635. 1.666. -0.134),(-0.001. 0.997. -0.078. 0.010)
14:59:02:173,(0.611. 1.669. -0.135),(-0.014. 0.998. -0.056. 0.019)
14:59:02:675,(0.624. 1.671. -0.133),(-0.005. 0.998. -0.051. 0.029)
14:59:03:185,(0.629. 1.679. -0.126),(-0.009. 1.000. -0.010. 0.022)
14:59:03:695,(0.641. 1.685. -0.115),(-0.009. 0.999. 0.025. 0.021)
14:59:04:206,(0.640. 1.680. -0.121),(-0.004. 1.000. -0.003. -0.010)
14:59:04:715,(0.545. 1.668. -0.127),(-0.029. 0.989. -0.037. -0.144)
14:59:05:214,(0.552. 1.668. -0.115),(0.042. -0.827. 0.051. 0.559)
