Time, Position, Rotation
10:20:21:319,(2.211. 0.860. 0.128),(0.659. 0.335. -0.533. 0.411)
10:20:21:817,(2.212. 0.860. 0.128),(0.659. 0.335. -0.533. 0.412)
10:20:22:321,(2.209. 0.860. 0.127),(0.659. 0.335. -0.533. 0.411)
10:20:22:827,(2.209. 0.860. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:23:338,(2.208. 0.861. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:23:849,(2.207. 0.861. 0.127),(0.658. 0.335. -0.534. 0.411)
10:20:24:359,(2.208. 0.860. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:24:869,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:25:37,(2.208. 0.860. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:25:882,(2.208. 0.860. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:26:392,(2.207. 0.861. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:26:891,(2.208. 0.861. 0.127),(0.658. 0.336. -0.535. 0.411)
10:20:27:403,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:27:913,(2.208. 0.860. 0.127),(0.658. 0.336. -0.535. 0.411)
10:20:28:424,(2.208. 0.861. 0.127),(0.658. 0.336. -0.535. 0.411)
10:20:28:925,(2.209. 0.860. 0.127),(0.658. 0.336. -0.535. 0.410)
10:20:29:435,(2.209. 0.860. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:29:946,(2.209. 0.860. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:30:447,(2.208. 0.861. 0.126),(0.658. 0.336. -0.534. 0.410)
10:20:30:957,(2.208. 0.861. 0.127),(0.658. 0.336. -0.535. 0.410)
10:20:31:466,(2.208. 0.861. 0.126),(0.658. 0.336. -0.534. 0.410)
10:20:31:967,(2.208. 0.861. 0.126),(0.658. 0.336. -0.534. 0.411)
10:20:32:477,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:32:978,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:33:478,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:33:989,(2.208. 0.861. 0.126),(0.658. 0.336. -0.535. 0.410)
10:20:34:499,(2.209. 0.860. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:35:011,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:35:522,(2.207. 0.861. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:36:032,(2.209. 0.860. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:36:532,(2.213. 0.859. 0.128),(0.659. 0.335. -0.534. 0.411)
10:20:37:043,(2.216. 0.858. 0.129),(0.659. 0.335. -0.534. 0.411)
10:20:37:553,(2.214. 0.859. 0.129),(0.659. 0.335. -0.534. 0.411)
10:20:38:065,(2.210. 0.860. 0.128),(0.659. 0.335. -0.534. 0.411)
10:20:38:564,(2.208. 0.861. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:39:075,(2.209. 0.860. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:39:58,(2.209. 0.860. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:40:086,(2.208. 0.861. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:40:597,(2.209. 0.860. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:41:097,(2.209. 0.860. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:41:629,(2.208. 0.861. 0.127),(0.658. 0.335. -0.534. 0.411)
10:20:42:129,(2.208. 0.861. 0.127),(0.658. 0.335. -0.534. 0.410)
10:20:42:63,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:43:14,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.411)
10:20:43:64,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:44:152,(2.207. 0.861. 0.126),(0.658. 0.336. -0.534. 0.410)
10:20:44:661,(2.207. 0.861. 0.127),(0.658. 0.336. -0.535. 0.410)
10:20:45:173,(2.209. 0.861. 0.127),(0.658. 0.336. -0.535. 0.410)
10:20:45:684,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:46:185,(2.208. 0.861. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:46:695,(2.208. 0.861. 0.127),(0.658. 0.336. -0.535. 0.410)
10:20:47:205,(2.208. 0.861. 0.127),(0.658. 0.336. -0.535. 0.410)
10:20:47:706,(2.208. 0.861. 0.127),(0.658. 0.336. -0.535. 0.410)
10:20:48:217,(2.208. 0.860. 0.127),(0.658. 0.336. -0.534. 0.410)
10:20:48:716,(2.208. 0.860. 0.127),(0.658. 0.335. -0.534. 0.410)
10:20:49:226,(2.209. 0.860. 0.127),(0.658. 0.335. -0.535. 0.410)
10:20:49:738,(2.209. 0.860. 0.127),(0.658. 0.335. -0.534. 0.410)
10:20:50:248,(2.209. 0.860. 0.127),(0.658. 0.335. -0.534. 0.410)
10:20:50:75,(2.209. 0.860. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:51:26,(2.209. 0.860. 0.127),(0.658. 0.335. -0.534. 0.411)
10:20:51:769,(2.210. 0.860. 0.127),(0.659. 0.335. -0.534. 0.411)
10:20:52:27,(2.214. 0.859. 0.128),(0.659. 0.335. -0.533. 0.411)
10:20:52:78,(2.217. 0.859. 0.129),(0.656. 0.339. -0.538. 0.407)
