Time, Position, Rotation
10:18:09:797,(2.206. 0.857. 0.130),(0.622. 0.399. -0.567. 0.365)
10:18:10:314,(2.207. 0.857. 0.130),(0.622. 0.398. -0.567. 0.365)
10:18:10:826,(2.207. 0.857. 0.130),(0.622. 0.398. -0.567. 0.365)
10:18:11:337,(2.206. 0.857. 0.130),(0.622. 0.398. -0.567. 0.365)
10:18:11:847,(2.209. 0.856. 0.131),(0.622. 0.398. -0.567. 0.365)
10:18:12:348,(2.213. 0.855. 0.132),(0.622. 0.398. -0.566. 0.365)
10:18:12:856,(2.218. 0.854. 0.134),(0.623. 0.398. -0.566. 0.365)
10:18:13:368,(2.210. 0.856. 0.131),(0.623. 0.398. -0.566. 0.366)
10:18:13:875,(2.206. 0.857. 0.130),(0.623. 0.398. -0.566. 0.365)
10:18:14:381,(2.206. 0.857. 0.130),(0.623. 0.398. -0.566. 0.365)
10:18:14:889,(2.207. 0.857. 0.130),(0.623. 0.398. -0.566. 0.365)
10:18:15:391,(2.211. 0.856. 0.131),(0.623. 0.398. -0.566. 0.365)
10:18:15:9,(2.213. 0.855. 0.132),(0.623. 0.398. -0.566. 0.365)
10:18:16:411,(2.224. 0.852. 0.135),(0.623. 0.398. -0.566. 0.365)
10:18:16:912,(2.214. 0.855. 0.133),(0.623. 0.398. -0.566. 0.366)
10:18:17:413,(2.210. 0.856. 0.131),(0.623. 0.398. -0.565. 0.366)
10:18:17:921,(2.206. 0.857. 0.130),(0.624. 0.398. -0.564. 0.366)
10:18:18:433,(2.206. 0.857. 0.130),(0.624. 0.397. -0.564. 0.367)
10:18:18:932,(2.210. 0.856. 0.132),(0.625. 0.397. -0.563. 0.367)
10:18:19:444,(2.212. 0.856. 0.132),(0.625. 0.396. -0.563. 0.367)
10:18:19:96,(2.214. 0.855. 0.133),(0.626. 0.396. -0.562. 0.368)
10:18:20:466,(2.221. 0.853. 0.135),(0.626. 0.396. -0.562. 0.368)
10:18:20:975,(2.216. 0.855. 0.134),(0.626. 0.397. -0.562. 0.368)
10:18:21:486,(2.221. 0.853. 0.135),(0.626. 0.397. -0.562. 0.367)
10:18:21:987,(2.224. 0.852. 0.136),(0.625. 0.397. -0.562. 0.368)
10:18:22:497,(2.223. 0.853. 0.136),(0.625. 0.397. -0.563. 0.368)
10:18:23:008,(2.218. 0.854. 0.134),(0.625. 0.397. -0.563. 0.368)
10:18:23:509,(2.208. 0.857. 0.131),(0.623. 0.398. -0.564. 0.368)
10:18:24:019,(2.205. 0.857. 0.130),(0.623. 0.398. -0.565. 0.367)
10:18:24:53,(2.206. 0.857. 0.130),(0.622. 0.398. -0.566. 0.366)
10:18:25:03,(2.207. 0.857. 0.130),(0.622. 0.398. -0.566. 0.366)
10:18:25:541,(2.207. 0.857. 0.130),(0.622. 0.398. -0.566. 0.366)
10:18:26:041,(2.206. 0.857. 0.130),(0.622. 0.399. -0.566. 0.366)
10:18:26:543,(2.206. 0.857. 0.130),(0.622. 0.399. -0.566. 0.366)
10:18:27:052,(2.210. 0.856. 0.131),(0.622. 0.399. -0.566. 0.365)
10:18:27:555,(2.217. 0.854. 0.133),(0.622. 0.398. -0.566. 0.365)
10:18:28:064,(2.219. 0.854. 0.134),(0.622. 0.398. -0.566. 0.366)
10:18:28:574,(2.209. 0.856. 0.130),(0.622. 0.398. -0.566. 0.366)
10:18:29:085,(2.201. 0.858. 0.128),(0.622. 0.398. -0.566. 0.366)
10:18:29:588,(2.196. 0.860. 0.127),(0.623. 0.398. -0.566. 0.366)
10:18:30:094,(2.195. 0.860. 0.126),(0.623. 0.398. -0.566. 0.366)
10:18:30:596,(2.198. 0.859. 0.127),(0.623. 0.397. -0.566. 0.366)
10:18:31:105,(2.198. 0.859. 0.127),(0.623. 0.397. -0.566. 0.366)
10:18:31:616,(2.203. 0.858. 0.129),(0.623. 0.397. -0.566. 0.366)
10:18:32:116,(2.269. 0.840. 0.149),(0.626. 0.394. -0.563. 0.367)
10:18:33:258,(2.274. 0.839. 0.151),(0.627. 0.394. -0.562. 0.369)
10:18:33:759,(2.300. 0.832. 0.160),(0.631. 0.390. -0.557. 0.373)
10:18:34:27,(2.256. 0.844. 0.147),(0.631. 0.391. -0.556. 0.373)
10:18:34:782,(2.229. 0.851. 0.138),(0.631. 0.392. -0.556. 0.373)
10:18:35:292,(2.219. 0.854. 0.135),(0.631. 0.391. -0.556. 0.373)
10:18:35:792,(2.220. 0.853. 0.136),(0.631. 0.391. -0.557. 0.372)
10:18:36:303,(2.227. 0.852. 0.138),(0.631. 0.391. -0.557. 0.372)
10:18:36:814,(2.233. 0.850. 0.139),(0.631. 0.391. -0.557. 0.371)
10:18:37:314,(2.238. 0.849. 0.141),(0.631. 0.392. -0.557. 0.371)
